rank,tabuleiro,posicao
8619,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",5
8291,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",5
7401,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",6
7215,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",3
7012,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",5
6746,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",3
6718,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",3
5515,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",9
4777,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",9
2365,"[0, 0, 0, 0, -1, 0, 1, 1, 0]",9
2163,"[0, 0, 0, 0, -1, 1, 0, 1, 0]",9
1882,"[1, 0, -1, 0, 0, 0, 0, 0, 1]",7
1855,"[0, 0, 1, 0, 1, 0, 0, 0, -1]",7
1720,"[0, 0, -1, 1, 0, 0, 0, 0, 1]",7
1626,"[0, 0, 0, 0, -1, 1, 1, 0, 0]",9
1567,"[0, 0, -1, 1, 0, 1, 0, 0, 0]",5
1559,"[0, 0, 0, 1, -1, 1, 0, 0, 0]",3
1543,"[0, 1, 0, 0, -1, 0, 0, 1, 0]",9
1540,"[1, 0, -1, 1, -1, 1, 0, 0, 0]",7
1528,"[0, 0, -1, 0, 0, 1, 0, 0, 1]",5
1518,"[0, 0, 0, 0, -1, 1, 0, 0, 1]",3
1487,"[1, 0, -1, 1, 0, 0, 0, 0, 0]",5
1479,"[0, 0, 0, 0, -1, 0, 1, 0, 1]",8
1427,"[0, 0, -1, 1, 0, 0, 1, 0, 0]",1
1397,"[1, 0, 0, 0, -1, 0, 0, 1, 0]",6
1395,"[0, 1, 0, 0, -1, 0, 1, 0, 0]",6
1369,"[1, 1, -1, 0, 0, 0, 0, 0, 0]",6
1368,"[1, 1, 0, 0, 0, -1, 0, 0, 0]",3
1352,"[0, 1, 0, 1, 0, -1, 0, 0, 0]",9
1350,"[0, 0, 0, 0, -1, 0, 0, 1, 1]",7
1345,"[0, 1, 0, 0, 0, -1, 1, 0, 0]",5
1311,"[0, 1, 0, 0, 0, -1, 0, 1, 0]",5
1308,"[0, 1, 0, 0, 0, -1, 0, 0, 1]",5
1297,"[0, 1, 0, 1, 1, -1, 0, 0, -1]",3
1291,"[0, 0, -1, 1, -1, 1, 0, 0, 1]",2
1287,"[1, 0, 0, 0, -1, 1, 0, 0, 0]",8
1286,"[0, 1, -1, 1, 0, 0, 0, 0, 0]",5
1273,"[0, 0, 1, 0, -1, 1, 1, 0, -1]",2
1252,"[1, 0, -1, 1, 0, 0, -1, 0, 1]",5
1241,"[0, 0, 1, 0, -1, 0, 1, 1, -1]",6
1224,"[1, 0, 1, 0, 1, 0, -1, 0, -1]",8
1213,"[0, 0, 0, 1, 1, 0, 0, 0, -1]",6
1199,"[1, 0, -1, 0, 0, 0, 0, 1, 0]",6
1187,"[0, 1, 0, 0, -1, 1, 0, 0, 0]",1
1151,"[0, 0, -1, 0, 0, 0, 0, 1, 1]",7
1130,"[0, 0, 1, 0, -1, 0, 1, 0, 0]",8
1127,"[0, 0, -1, 1, 0, 0, 0, 1, 0]",6
1120,"[0, 0, 1, 0, -1, 1, 0, 0, 0]",9
1088,"[1, 0, 0, 0, 1, 0, 0, 0, -1]",7
1085,"[1, 0, -1, 0, 1, 0, 0, 0, 0]",9
1074,"[0, 0, 1, 1, 0, 0, 0, 0, -1]",1
1073,"[0, 0, 1, 0, 0, 1, 0, 0, -1]",5
1053,"[1, 0, -1, 0, 0, 1, 0, 0, 0]",5
1006,"[1, 0, -1, 0, 0, 0, -1, 1, 1]",5
993,"[0, 1, -1, 0, 0, 0, 0, 0, 1]",5
990,"[0, 0, 0, 1, -1, 0, 0, 1, 0]",1
987,"[0, 1, -1, 0, -1, 1, 0, 0, 1]",7
975,"[0, 0, -1, 0, 1, 0, 0, 0, 1]",1
973,"[1, 0, -1, 0, -1, 1, 0, 0, 1]",8
945,"[0, 1, 0, 0, -1, -1, 1, 1, 0]",9
942,"[0, 0, -1, 1, 0, 0, -1, 1, 1]",1
927,"[1, 1, -1, 0, 0, -1, 0, 1, 0]",5
924,"[1, 1, -1, 1, -1, 0, 0, 0, 0]",7
917,"[1, 1, -1, 1, -1, -1, 0, 1, 0]",9
916,"[0, 1, 1, 0, -1, 0, 0, 1, -1]",1
915,"[0, 1, -1, 1, -1, 1, 0, 0, 0]",1
915,"[0, 1, 0, 0, -1, 1, 0, 1, -1]",1
910,"[0, 0, 0, 0, -1, 1, 1, 1, -1]",3
903,"[0, 1, 0, 0, -1, 0, 1, 1, -1]",4
895,"[0, 0, 1, 0, -1, 1, 0, 1, -1]",4
895,"[0, 1, 0, 0, 1, -1, 1, 0, -1]",3
884,"[0, 1, 0, 0, -1, -1, 1, 0, 1]",4
862,"[0, 0, -1, 1, -1, 1, 1, 1, -1]",1
826,"[0, 1, 1, 0, -1, -1, 1, 1, -1]",4
811,"[0, 0, 1, 0, 0, 0, 0, 1, -1]",5
803,"[0, 1, 0, 1, -1, -1, 1, 1, -1]",3
790,"[0, 0, 1, 0, -1, 0, 0, 1, 0]",9
785,"[1, -1, 1, 0, -1, 1, 1, 0, -1]",8
722,"[0, 0, 0, 1, -1, 0, 1, 0, 0]",8
716,"[-1, 1, -1, 1, -1, 1, 1, 0, 0]",9
712,"[1, 0, 1, 0, -1, -1, 1, 1, -1]",4
706,"[0, 0, 0, 0, 1, 0, 1, 0, -1]",6
704,"[1, 0, -1, 0, -1, 1, 1, -1, 1]",2
685,"[0, 0, 1, 0, 0, 0, 1, 0, -1]",1
679,"[0, 0, -1, 1, -1, 1, 0, 1, 0]",7
667,"[0, 0, -1, 0, -1, 1, 0, 1, 1]",7
663,"[1, 0, -1, 1, 0, -1, 0, 1, 0]",9
662,"[0, 0, 0, 1, -1, 0, 1, -1, 1]",2
660,"[0, 0, 0, 1, -1, 1, 0, 1, -1]",3
659,"[1, 1, 0, 0, -1, -1, 1, 0, 0]",4
656,"[0, 0, 1, 1, -1, 0, 1, -1, 0]",2
649,"[0, 0, 0, 1, -1, 0, 1, 1, -1]",1
647,"[0, 0, -1, 1, 0, 1, -1, 0, 1]",5
644,"[1, 1, -1, 0, 1, -1, 0, 0, 0]",9
642,"[-1, 0, -1, 1, 0, 0, 1, 0, 1]",2
639,"[0, 1, 0, 0, -1, 1, 1, 0, -1]",1
638,"[0, 1, 1, 0, 1, 0, -1, 0, -1]",8
634,"[0, 1, -1, 1, -1, 0, 0, 0, 1]",7
632,"[0, 0, 1, 1, -1, 1, 0, 0, -1]",7
629,"[1, 1, -1, 0, 0, -1, 1, 0, 0]",4
626,"[0, 1, 1, 0, 0, 0, 0, 0, -1]",8
626,"[0, 0, 0, 1, 1, -1, 1, 0, -1]",3
621,"[0, 0, 1, -1, -1, 1, 1, 1, -1]",1
619,"[1, 1, -1, 1, 0, -1, 0, 0, 0]",7
618,"[-1, 0, -1, 0, 1, 0, 1, 0, 1]",2
611,"[1, 0, -1, 1, -1, 0, 0, 0, 1]",7
611,"[-1, 0, 1, 1, 0, 0, 1, 0, -1]",5
609,"[1, 1, -1, 1, 0, -1, -1, 0, 1]",5
609,"[0, 1, 1, 0, -1, -1, 1, 0, 0]",4
606,"[1, 1, 0, 0, 1, -1, 0, 0, -1]",3
604,"[0, 0, -1, 1, -1, 1, 1, 0, 0]",1
601,"[1, 1, -1, 0, 0, 0, -1, 0, 1]",5
600,"[0, 1, -1, 0, -1, 1, 1, 1, -1]",1
599,"[1, 1, 0, 0, -1, -1, 0, 1, 0]",3
599,"[1, 0, 0, 0, 1, 1, -1, 0, -1]",8
590,"[1, 1, -1, 0, -1, -1, 0, 1, 1]",7
586,"[0, 0, 1, 0, -1, 0, 1, -1, 1]",2
583,"[0, 1, 1, -1, -1, 1, 0, 1, -1]",1
574,"[1, 0, -1, 0, 0, 1, -1, 0, 1]",5
574,"[0, 1, 0, 0, -1, -1, 0, 1, 1]",4
570,"[0, 0, 1, 1, 1, 0, -1, 0, -1]",8
534,"[1, 1, 0, 0, -1, -1, 1, 1, -1]",3
532,"[1, 1, -1, 0, -1, 1, 0, -1, 1]",7
530,"[1, 1, -1, 0, -1, -1, 1, 1, 0]",9
525,"[-1, 1, -1, 1, -1, 1, 0, 1, 0]",7
520,"[1, 0, -1, 1, -1, -1, 0, 1, 1]",7
506,"[0, 1, 1, 1, -1, -1, 0, 1, -1]",1
486,"[-1, 1, -1, 1, -1, 1, 0, 0, 1]",7
472,"[0, 1, 0, 0, 1, -1, 0, 0, 0]",9
449,"[-1, 0, -1, 1, 1, 0, -1, 1, 1]",2
446,"[1, -1, -1, 1, -1, 1, 0, 0, 1]",7
429,"[0, 1, 0, 0, 1, 0, 0, 0, -1]",6
428,"[1, 0, 1, 0, -1, 1, 0, 0, -1]",2
427,"[0, -1, -1, 1, -1, 1, 1, 0, 1]",8
427,"[0, -1, 1, 0, -1, 1, 1, 1, -1]",1
423,"[0, 0, -1, 0, -1, 1, 1, 0, 1]",8
421,"[0, -1, -1, 1, -1, 1, 0, 1, 1]",1
421,"[-1, 0, 1, 0, 1, 1, -1, 1, -1]",4
414,"[1, 0, -1, 1, -1, 1, 0, -1, 1]",2
414,"[0, -1, 1, 1, -1, 1, 1, 0, -1]",8
414,"[0, 1, 1, 1, -1, 1, -1, 0, -1]",8
411,"[0, 0, 1, 1, -1, -1, 1, 1, -1]",1
395,"[1, 0, 1, 0, 0, 0, 0, 0, -1]",7
358,"[0, 1, 0, -1, -1, 1, 1, 1, -1]",1
354,"[1, 0, -1, 0, 0, -1, 1, 1, 0]",9
350,"[0, 1, -1, 1, 0, -1, -1, 1, 1]",5
349,"[0, 0, 1, 0, -1, 1, 1, -1, 0]",2
349,"[1, 1, -1, 0, 1, 0, 0, 0, -1]",8
344,"[-1, 0, 1, 1, 0, 1, 0, 0, -1]",5
344,"[1, 0, 0, 0, -1, -1, 0, 1, 1]",4
341,"[0, 1, 1, 0, -1, -1, 0, 0, 1]",4
340,"[1, 0, -1, 0, 0, 0, 1, 0, 0]",4
339,"[-1, 0, -1, 1, 1, 0, 1, 0, 0]",6
339,"[0, 1, 1, -1, 0, -1, 0, 0, 1]",5
337,"[1, -1, 0, 0, -1, 1, 1, 0, 0]",8
335,"[0, 1, 1, -1, 0, -1, 1, 0, 0]",5
331,"[0, 1, 0, 1, 0, -1, 1, 0, -1]",1
330,"[1, 1, -1, -1, 1, 0, 1, 0, -1]",6
330,"[-1, 0, 0, 1, -1, 1, 0, 1, 0]",9
330,"[-1, 0, -1, 1, 0, 1, -1, 1, 1]",2
329,"[0, -1, -1, 1, 1, 0, 0, 1, 0]",1
326,"[1, 1, -1, 0, 0, -1, -1, 1, 1]",5
325,"[1, 0, 0, 0, -1, 0, 1, 0, 0]",2
323,"[0, 1, 0, 1, -1, -1, 0, 1, 0]",9
323,"[0, 1, 0, 0, -1, 0, -1, 1, 1]",1
323,"[-1, 1, -1, 1, -1, 0, 1, 1, 0]",9
322,"[-1, 1, -1, 1, 0, 0, -1, 1, 1]",5
322,"[-1, 0, -1, 0, 1, 1, 0, 0, 1]",2
319,"[-1, 1, 0, 0, -1, 1, 0, 1, 0]",9
319,"[-1, 1, 0, 1, -1, 0, 0, 1, 0]",7
319,"[0, 0, 0, 1, -1, 1, 1, -1, 0]",2
318,"[0, 0, -1, 0, 0, 0, 1, 0, 1]",1
318,"[1, 0, 0, 0, -1, 0, 1, -1, 1]",4
317,"[1, 0, 1, 0, -1, -1, 0, 1, 0]",4
316,"[1, 0, 0, 0, -1, -1, 1, 1, 0]",4
316,"[1, 0, 0, 0, -1, 0, -1, 1, 1]",3
316,"[-1, 0, -1, 0, 1, 0, 0, 1, 1]",2
316,"[-1, 1, 1, 0, 1, 1, -1, 0, -1]",8
316,"[1, 1, -1, 0, -1, 1, 0, 0, 0]",7
